Name,Position,Price,xMins,GW16,GW17,GW18,GW19,Total,/£M,Elite%
Haaland,FWD,15.0,87,5.5,7.7,5.5,6.4,25.1,0.42,98.2%
B.Fernandes,MID,9.2,90,5.8,4.9,5.4,6.8,22.9,0.62,94.3%
Saka,MID,10.2,80,6.8,4.9,5.5,5.2,22.4,0.55,71.5%
Thiago,FWD,7.1,89,5.4,4.8,4.6,4.5,19.4,0.68,49.5%
Foden,MID,8.7,81,4.3,5.8,4.4,4.6,19.1,0.55,74.5%
Cunha,MID,7.9,80,4.8,4.1,4.3,5.8,19.0,0.60,14.6%
Palmer,MID,10.3,73,4.9,4.1,4.8,5.0,18.8,0.46,0.3%
Mateta,FWD,7.9,74,3.2,4.9,5.2,5.3,18.6,0.59,52.6%
Virgil,DEF,5.9,92,4.3,4.1,4.6,4.5,17.5,0.74,72.1%
Isak,FWD,10.4,54,2.5,4.5,5.7,4.7,17.4,0.42,0.0%
Wirtz,MID,8.0,75,4.2,4.0,4.6,4.2,16.9,0.53,0.3%
Szoboszlai,MID,6.7,86,4.6,3.5,4.4,4.3,16.9,0.63,3.1%
Ekitiké,FWD,8.5,76,4.3,3.7,4.5,4.1,16.7,0.49,0.0%
O’Reilly,DEF,5.2,78,3.5,4.8,3.9,4.3,16.5,0.79,15.4%
Raya,GK,6.0,92,4.5,4.0,4.0,3.9,16.3,0.68,72.2%
Semenyo,MID,7.6,86,4.0,5.2,3.9,3.2,16.3,0.54,27.3%
Gordon,MID,7.2,76,4.4,3.9,3.6,4.3,16.3,0.57,6.0%
J.Timber,DEF,6.5,77,3.8,4.1,4.3,4.2,16.3,0.63,49.1%
Raúl,FWD,6.3,80,4.6,4.8,4.0,2.9,16.2,0.64,0.9%
Ødegaard,MID,7.8,71,4.9,3.6,4.0,3.7,16.1,0.52,0.0%
João Pedro,FWD,7.3,80,4.2,3.7,3.9,4.2,16.0,0.55,1.2%
Damsgaard,MID,5.8,76,4.2,4.1,3.8,3.9,15.9,0.68,0.1%
Rice,MID,7.1,86,3.9,4.0,3.9,3.9,15.7,0.55,0.7%
Woltemade,FWD,7.5,73,3.8,4.1,3.5,4.3,15.7,0.52,10.1%
Enzo,MID,6.6,88,4.2,3.5,3.8,4.1,15.6,0.59,28.5%
Andersen,DEF,4.6,91,4.3,4.2,3.7,3.3,15.6,0.85,86.4%
Doku,MID,6.6,66,3.4,4.5,3.7,3.9,15.5,0.59,0.4%
Neto,MID,7.3,75,4.2,3.5,3.8,4.0,15.4,0.53,0.1%
Van den Berg,DEF,4.5,92,4.1,4.0,3.6,3.6,15.3,0.85,8.9%
Bowen,FWD,7.5,88,4.0,3.2,4.1,3.9,15.1,0.50,0.3%
A.Becker,GK,5.4,93,3.8,3.5,4.1,3.7,15.1,0.70,0.3%
Welbeck,FWD,6.5,79,3.5,4.8,2.9,3.9,15.1,0.58,11.2%
Minteh,MID,6.2,84,3.5,4.6,3.0,4.0,15.1,0.61,69.5%
Konaté,DEF,5.4,88,3.9,3.4,4.0,3.7,15.0,0.70,0.4%
Yeremy,MID,5.8,74,3.5,3.8,4.0,3.7,15.0,0.64,0.0%
Lacroix,DEF,5.1,89,3.2,3.8,4.0,4.0,14.9,0.73,30.3%
Gvardiol,DEF,5.9,83,3.4,4.2,3.5,3.7,14.8,0.63,2.3%
Donnarumma,GK,5.7,94,3.6,3.7,3.7,3.8,14.8,0.65,2.5%
Mitchell,DEF,5.0,92,3.0,3.7,4.0,4.1,14.8,0.74,0.0%
Wilson,MID,5.4,64,3.5,4.1,3.9,3.2,14.7,0.68,0.1%
Watkins,FWD,8.5,70,4.1,4.3,3.4,2.9,14.7,0.43,0.2%
Tavernier,MID,5.5,73,3.4,4.7,3.5,3.1,14.7,0.67,2.9%
Richards,DEF,4.6,88,3.2,3.7,3.9,3.8,14.7,0.80,24.0%
Guéhi,DEF,5.2,90,3.0,3.8,3.9,3.8,14.6,0.70,1.1%
L.Paquetá,MID,5.9,84,3.8,3.1,3.8,3.8,14.5,0.62,0.8%
Rogers,MID,7.0,86,4.3,4.2,3.2,2.8,14.5,0.52,0.1%
Kudus,MID,6.5,78,4.0,3.7,3.3,3.4,14.4,0.56,0.0%
Gibbs-White,MID,7.3,85,4.0,3.6,3.1,3.7,14.4,0.49,0.0%
Kelleher,GK,4.5,94,3.7,3.7,3.4,3.5,14.3,0.79,3.9%
Bruno G.,MID,7.0,88,4.0,3.5,3.2,3.6,14.3,0.51,1.1%
Dewsbury-Hall,MID,5.1,85,3.2,3.3,4.1,3.7,14.2,0.70,18.5%
Tarkowski,DEF,5.5,91,3.2,3.3,4.1,3.6,14.2,0.64,30.3%
Calvert-Lewin,FWD,5.6,78,3.8,3.9,3.5,2.9,14.2,0.63,5.5%
Rúben,DEF,5.6,85,3.3,3.8,3.4,3.6,14.1,0.63,0.1%
Cucurella,DEF,6.2,85,4.1,2.9,3.4,3.6,14.1,0.57,0.2%
E.Le Fée,MID,4.9,81,3.8,3.3,3.8,3.2,14.1,0.72,1.0%
Georginio,MID,5.6,73,3.2,4.3,2.6,3.9,14.0,0.62,0.3%
Leno,GK,4.9,95,3.8,3.7,3.5,3.0,13.9,0.71,0.0%
Matheus N.,DEF,5.3,78,3.1,4.1,3.2,3.5,13.9,0.66,0.0%
Sánchez,GK,4.9,90,3.7,3.2,3.5,3.6,13.9,0.71,3.4%
Anderson,MID,5.4,87,3.9,3.5,3.2,3.3,13.9,0.64,30.5%
Collins,DEF,4.9,90,4.0,3.6,3.1,3.1,13.9,0.71,2.6%
Henderson,GK,5.1,94,3.1,3.5,3.5,3.6,13.8,0.68,0.0%
Lammens,GK,5.1,93,3.5,3.1,3.2,3.9,13.7,0.67,0.1%
Evanilson,FWD,7.0,74,3.3,4.1,3.3,3.0,13.7,0.49,0.2%
Kayode,DEF,4.5,89,3.8,3.6,3.1,3.2,13.7,0.76,0.1%
Thiaw,DEF,5.0,90,4.0,3.2,2.9,3.6,13.7,0.69,18.8%
Schade,MID,7.0,0,0.0,4.6,4.6,4.4,13.7,0.49,2.3%
Dalot,DEF,4.4,65,2.8,2.9,3.4,4.6,13.7,0.78,0.2%
Mac Allister,MID,6.2,72,3.3,3.2,3.8,3.3,13.6,0.55,0.0%
Kamada,MID,5.0,74,3.2,3.3,3.5,3.5,13.6,0.68,0.0%
Gravenberch,MID,5.6,88,3.5,3.3,3.6,3.1,13.5,0.60,0.0%
Tete,DEF,4.5,84,3.8,3.6,3.3,2.7,13.4,0.75,0.7%
Tielemans,MID,5.9,84,3.8,3.5,3.2,2.9,13.3,0.56,0.1%
Keane,DEF,4.6,84,2.9,2.9,3.9,3.6,13.3,0.72,8.2%
Stach,MID,4.8,86,3.5,3.5,3.4,2.8,13.3,0.69,6.8%
Petrović,GK,4.5,94,3.1,4.0,3.2,2.9,13.2,0.73,7.7%
Murillo,DEF,5.2,88,3.7,3.3,2.7,3.5,13.2,0.63,0.1%
Tonali,MID,5.3,84,3.7,3.1,3.0,3.4,13.2,0.62,0.0%
Igor Jesus,FWD,5.8,79,4.1,3.3,2.8,3.0,13.1,0.57,0.0%
Vicario,GK,4.9,92,3.5,3.2,3.2,3.3,13.1,0.67,0.1%
Pedro Porro,DEF,5.3,90,3.8,3.2,2.9,3.2,13.1,0.62,0.6%
Verbruggen,GK,4.4,92,2.9,4.0,2.8,3.5,13.1,0.74,11.5%
Pickford,GK,5.5,93,3.0,3.0,3.6,3.5,13.1,0.59,0.3%
Eze,MID,7.8,62,4.7,2.9,2.9,2.6,13.0,0.42,0.2%
Chalobah,DEF,5.4,80,3.8,2.8,3.0,3.4,13.0,0.60,0.4%
Cherki,MID,6.4,55,3.0,3.9,2.9,3.2,13.0,0.51,0.0%
Nketiah,FWD,5.4,54,2.7,3.2,3.5,3.5,12.9,0.60,0.0%
Dúbravka,GK,4.0,93,3.4,3.0,3.4,3.1,12.9,0.81,92.6%
Grealish,MID,6.6,84,3.1,3.0,3.6,3.1,12.9,0.49,0.1%
Roefs,GK,4.7,93,3.3,3.0,3.6,2.9,12.8,0.68,0.2%
Estève,DEF,3.9,93,3.5,3.0,3.4,2.9,12.8,0.82,10.2%
Senesi,DEF,5.0,80,2.2,4.5,3.3,2.7,12.8,0.64,34.5%
Reijnders,MID,5.2,59,2.7,3.8,3.0,3.2,12.7,0.61,6.7%
Strand Larsen,FWD,6.2,80,2.7,3.9,2.9,3.2,12.7,0.51,0.4%
Perri,GK,4.5,93,3.1,3.3,3.3,2.8,12.6,0.70,0.0%
James,DEF,5.6,73,4.0,2.4,3.1,3.1,12.6,0.56,0.2%
Cash,DEF,4.9,89,4.2,3.7,2.5,2.2,12.6,0.64,0.2%
Kevin,MID,5.8,52,2.7,3.7,3.3,2.9,12.6,0.54,0.0%
Zubimendi,MID,5.3,82,3.6,2.9,3.0,3.0,12.6,0.59,0.0%
Rodon,DEF,4.1,91,3.2,3.3,3.7,2.3,12.5,0.76,37.4%
Clyne,DEF,3.8,84,2.6,3.2,3.3,3.4,12.5,0.82,0.0%
Hincapie,DEF,5.5,92,5.4,3.2,2.1,1.8,12.5,0.57,1.3%
Hall,DEF,5.2,77,3.8,2.9,2.6,3.2,12.5,0.60,0.3%
Cullen,MID,5.0,88,3.3,3.1,3.1,3.0,12.5,0.62,0.0%
McGinn,MID,5.4,71,3.5,3.7,2.9,2.4,12.4,0.58,0.0%
Romero,DEF,5.0,89,3.6,2.9,3.0,2.9,12.4,0.62,0.3%
Areola,GK,4.3,93,3.2,2.6,3.4,3.1,12.4,0.72,0.1%
Sels,GK,4.7,95,2.9,3.2,2.9,3.4,12.4,0.66,0.3%
Mount,MID,5.9,53,2.8,2.8,2.9,3.8,12.3,0.52,0.0%
Van Hecke,DEF,4.5,91,2.7,4.3,2.4,3.0,12.3,0.69,11.0%
Wharton,MID,5.0,77,3.0,3.0,3.2,3.1,12.3,0.62,0.0%
Saliba,DEF,6.0,95,1.9,2.6,3.9,4.0,12.3,0.51,1.9%
Florentino,MID,5.0,80,3.0,3.1,3.2,2.9,12.2,0.61,0.0%
J.Arias,MID,5.0,68,2.5,3.7,2.9,3.2,12.2,0.61,0.0%
Gomes,MID,5.3,88,2.8,3.4,3.1,3.0,12.2,0.58,0.0%
Milenković,DEF,5.1,91,3.5,3.1,2.4,3.2,12.2,0.60,0.0%
Diakité,DEF,4.4,90,2.9,4.0,2.9,2.3,12.2,0.69,0.3%
Flemming,FWD,5.3,62,3.1,2.8,3.2,2.9,12.0,0.57,0.0%
Livramento,DEF,4.9,91,3.7,2.7,2.4,3.2,12.0,0.61,2.4%
Mukiele,DEF,4.2,88,3.2,2.8,3.6,2.4,11.9,0.71,10.2%
Calafiori,DEF,5.7,0,0.0,3.9,4.1,3.9,11.9,0.52,1.0%
Barry,FWD,5.7,61,2.6,2.7,3.4,3.1,11.8,0.52,0.0%
Mykolenko,DEF,4.9,89,2.6,2.6,3.6,3.0,11.8,0.60,0.1%
Truffert,DEF,4.5,89,2.8,4.3,2.7,2.1,11.8,0.66,2.7%
Kluivert,MID,7.0,53,2.7,3.8,2.9,2.4,11.8,0.42,0.1%
Konsa,DEF,4.4,91,3.6,3.3,2.6,2.3,11.7,0.67,0.4%
Henderson,MID,5.0,81,3.1,3.0,2.9,2.7,11.7,0.58,0.0%
Ayari,MID,4.9,59,2.3,3.6,2.6,3.1,11.6,0.59,0.0%
Richarlison,FWD,6.4,64,3.2,3.1,2.7,2.6,11.6,0.45,0.0%
N.Gonzalez,MID,5.9,83,3.3,3.6,2.7,2.0,11.5,0.49,0.0%
Martinez,DEF,4.8,65,2.6,2.4,2.7,3.8,11.5,0.60,0.0%
Ndoye,MID,5.5,67,3.3,2.7,2.5,3.0,11.5,0.52,0.0%
Ballard,DEF,4.6,82,3.0,2.7,3.3,2.4,11.5,0.62,0.0%
Scott,MID,5.0,82,3.3,3.3,2.5,2.3,11.4,0.57,0.0%
Alderete,DEF,4.0,80,2.9,2.6,3.5,2.3,11.4,0.71,4.5%
Anthony,MID,5.3,60,2.9,2.6,2.9,3.0,11.4,0.54,0.0%
Kerkez,DEF,5.6,66,3.0,2.3,2.9,3.1,11.3,0.50,0.2%
Summerville,MID,5.5,56,2.5,2.6,3.3,2.9,11.3,0.51,0.0%
Isidor,FWD,5.5,59,2.9,2.7,3.0,2.7,11.3,0.51,0.2%
Martinez,GK,5.1,65,2.0,3.5,3.0,2.8,11.2,0.55,0.0%
N.Williams,DEF,4.7,86,3.6,2.5,2.2,3.0,11.2,0.60,0.2%
Mavropanos,DEF,4.4,81,3.0,2.1,3.2,2.9,11.2,0.64,0.0%
Douglas Luiz,MID,4.9,59,2.5,2.9,2.7,3.1,11.2,0.57,0.0%
Xhaka,MID,5.2,91,3.3,2.4,2.9,2.5,11.2,0.54,0.3%
Van de Ven,DEF,4.7,89,3.2,2.7,2.5,2.7,11.1,0.59,0.6%
Hartman,DEF,4.0,87,3.3,2.4,2.9,2.5,11.1,0.70,0.1%
Šeško,FWD,7.2,32,1.5,2.6,3.3,3.7,11.1,0.39,0.0%
Gudmundsson,DEF,3.9,81,2.8,3.1,3.1,2.0,11.1,0.71,4.5%
Adams,MID,5.0,88,3.1,2.9,2.6,2.4,11.0,0.55,0.0%
Wieffer,MID,4.9,82,3.2,2.9,2.3,2.7,11.0,0.56,0.1%
Berge,MID,4.9,85,2.9,2.9,2.7,2.5,11.0,0.56,0.0%
Buendía,MID,5.3,50,2.8,3.4,2.5,2.4,11.0,0.52,0.0%
Yarmoliuk,MID,5.0,69,2.8,2.9,2.6,2.6,10.9,0.55,0.0%
Hee Chan,MID,5.6,50,2.0,3.4,2.6,2.9,10.9,0.49,0.0%
Casemiro,MID,5.5,71,3.3,2.1,2.4,2.9,10.8,0.49,0.0%
Kolo Muani,FWD,6.9,58,2.8,2.8,2.6,2.7,10.8,0.39,0.0%
Lewis-Potter,DEF,4.8,63,3.7,2.4,2.2,2.5,10.8,0.56,0.0%
Mitoma,MID,6.1,38,1.8,3.0,2.3,3.7,10.8,0.44,0.0%
O'Brien,DEF,4.9,74,2.1,2.4,3.3,2.9,10.7,0.55,0.0%
King,MID,4.5,54,2.5,3.2,2.7,2.4,10.7,0.60,4.4%
Garner,MID,5.0,84,3.0,2.4,2.6,2.7,10.7,0.54,0.1%
Ekdal,DEF,3.9,61,2.3,2.7,3.0,2.7,10.7,0.69,0.0%
Kamara,MID,4.9,82,3.0,2.9,2.5,2.3,10.7,0.55,0.0%
Johnstone,GK,4.5,92,2.3,3.2,2.5,2.7,10.7,0.59,0.0%
Burn,DEF,5.2,75,3.5,2.5,2.0,2.6,10.6,0.51,1.3%
Struijk,DEF,4.3,84,2.8,2.8,3.1,1.8,10.6,0.61,0.0%
Shaw,DEF,4.5,80,2.9,2.1,2.4,3.1,10.5,0.58,0.2%
Nelson,MID,4.8,29,1.3,3.2,3.1,2.9,10.4,0.54,0.0%
Gyökeres,FWD,8.8,44,3.7,2.3,2.1,2.3,10.4,0.30,0.3%
Todibo,DEF,4.3,76,2.6,1.9,3.1,2.7,10.4,0.60,0.0%
M.Fernandes,MID,5.5,64,2.7,2.2,2.8,2.7,10.4,0.47,0.0%
J.Palhinha,MID,5.5,50,2.1,2.9,2.8,2.6,10.3,0.47,0.0%
Madueke,MID,6.8,50,3.9,2.0,2.2,2.2,10.3,0.38,0.2%
Dorgu,DEF,4.1,30,1.5,2.5,2.5,3.7,10.3,0.63,0.1%
Caicedo,MID,5.7,0,0.0,3.3,3.4,3.5,10.2,0.45,0.0%
Dunk,DEF,4.5,89,2.4,3.2,1.9,2.7,10.2,0.57,0.0%
Bernardo,MID,6.2,59,2.5,2.9,2.4,2.3,10.1,0.41,0.0%
Bogle,DEF,4.4,87,2.9,2.5,2.9,1.8,10.1,0.57,0.0%
Merino,MID,6.1,53,3.7,2.1,2.1,2.2,10.1,0.41,0.0%
Xavi,MID,6.5,58,3.0,2.6,2.3,2.2,10.1,0.39,0.0%
Pau,DEF,4.3,77,2.3,3.2,2.4,2.1,10.0,0.58,0.0%
André,MID,5.3,87,2.8,2.4,2.2,2.6,10.0,0.47,0.0%
Tchaouna,MID,4.9,56,2.7,2.2,2.5,2.4,9.8,0.50,0.0%
Gabriel,DEF,6.2,0,0.0,1.8,3.8,4.2,9.8,0.40,0.3%
Malen,MID,5.1,39,2.5,3.0,2.3,2.0,9.8,0.48,0.2%
Alcaraz,MID,5.2,32,1.5,2.5,3.0,2.5,9.6,0.46,0.0%
Hume,DEF,4.5,61,2.1,2.3,3.3,2.0,9.6,0.53,0.0%
Hickey,DEF,4.0,63,2.8,2.5,2.1,2.1,9.6,0.60,0.0%
Spence,DEF,4.3,75,2.7,2.2,2.2,2.3,9.5,0.55,0.0%
Bakwa,MID,5.9,51,2.5,2.3,2.2,2.5,9.4,0.40,0.0%
F.Kadıoğlu,DEF,4.4,83,2.1,3.1,1.6,2.6,9.4,0.54,0.1%
Tanaka,MID,4.8,70,2.6,2.8,2.2,1.9,9.4,0.49,0.0%
Wilson,FWD,5.8,52,2.6,2.1,2.4,2.4,9.4,0.41,0.0%
Garnacho,MID,6.4,42,2.5,2.1,2.5,2.3,9.4,0.37,0.0%
Joelinton,MID,5.9,38,1.5,2.4,2.6,2.9,9.4,0.40,0.0%
Ampadu,MID,4.9,81,2.9,2.0,2.2,2.3,9.4,0.48,0.0%
Maatsen,DEF,4.2,63,3.0,2.7,2.0,1.6,9.3,0.55,0.0%
Bentancur,MID,5.3,63,2.5,2.3,2.3,2.2,9.3,0.44,0.0%
Lukić,MID,5.0,45,1.9,2.7,2.5,2.2,9.3,0.46,0.0%
Fofana,DEF,4.4,63,2.8,2.0,2.2,2.3,9.2,0.53,0.0%
Elanga,MID,6.6,37,2.2,2.4,2.2,2.5,9.2,0.35,0.2%
Potts,MID,4.4,66,2.3,2.2,2.5,2.2,9.1,0.52,0.6%
Ugochukwu,MID,5.0,67,2.4,2.2,2.3,2.2,9.1,0.45,0.0%
J.Murphy,MID,6.1,38,2.2,2.4,2.1,2.4,9.1,0.37,0.0%
Brobbey,FWD,5.5,37,1.8,2.2,2.7,2.3,9.0,0.41,0.0%
Krejčí,DEF,4.5,88,1.8,3.0,1.9,2.2,8.9,0.49,0.0%
Okafor,MID,5.5,54,2.5,2.4,2.2,1.6,8.8,0.40,0.0%
Chiesa,MID,6.3,39,2.5,2.2,2.3,1.8,8.8,0.35,0.0%
White,DEF,5.4,77,4.7,1.5,1.2,1.2,8.7,0.40,0.1%
Gomez,MID,4.9,46,2.0,2.4,1.9,2.4,8.7,0.44,0.0%
Barnes,MID,6.4,29,1.9,2.3,2.2,2.2,8.6,0.34,0.1%
Zirkzee,FWD,5.8,26,1.6,2.2,2.2,2.6,8.6,0.37,0.0%
Bruun Larsen,MID,5.3,44,2.2,2.0,2.2,2.2,8.6,0.40,0.0%
Frimpong,DEF,5.7,0,0.0,1.4,3.5,3.6,8.5,0.37,0.0%
Hinshelwood,MID,5.1,42,1.6,2.5,2.0,2.4,8.4,0.41,0.0%
C.Jones,MID,5.4,43,2.1,2.1,2.3,2.0,8.4,0.39,0.0%
Toti,DEF,4.3,68,1.5,2.9,1.9,2.2,8.4,0.49,0.0%
Smith Rowe,MID,5.6,31,1.7,2.4,2.4,1.9,8.4,0.37,0.0%
Diop,DEF,4.3,30,1.3,2.7,2.4,1.9,8.4,0.49,0.0%
Smith,DEF,4.4,59,1.8,3.0,1.9,1.6,8.4,0.47,0.0%
Brooks,MID,5.0,34,1.6,2.6,2.0,2.1,8.3,0.42,0.0%
Savinho,MID,6.9,22,1.3,2.4,2.1,2.5,8.3,0.30,0.1%
De Cuyper,DEF,4.3,50,1.9,3.0,1.5,1.8,8.3,0.48,0.8%
Estêvão,MID,6.5,36,2.1,1.9,2.1,2.2,8.2,0.32,0.0%
Gusto,DEF,4.9,63,3.1,1.3,1.8,2.0,8.2,0.42,0.0%
Rigg,MID,4.7,28,1.3,2.1,2.5,2.2,8.1,0.43,0.0%
Iroegbunam,MID,4.8,33,1.2,2.4,2.3,2.1,8.0,0.42,0.0%
Bergvall,MID,5.3,45,2.0,1.9,2.0,2.1,8.0,0.38,0.0%
Beto,FWD,5.0,37,1.8,1.7,2.2,2.3,8.0,0.40,0.0%
Aaronson,MID,5.4,48,2.2,2.1,2.0,1.7,7.9,0.37,0.0%
Ramsdale,GK,4.8,94,3.8,1.8,1.1,1.2,7.9,0.41,0.5%
Kilman,DEF,4.2,39,1.4,1.4,2.5,2.3,7.7,0.46,0.1%
Robinson,DEF,4.9,41,1.4,2.3,2.2,1.7,7.6,0.39,0.0%
L.Miley,MID,4.4,52,2.2,1.9,1.8,1.6,7.5,0.43,0.0%
Zinchenko,DEF,4.9,31,1.3,2.0,1.8,2.4,7.5,0.38,0.0%
Jensen,MID,4.9,36,1.8,1.7,2.0,2.0,7.4,0.38,0.0%
Gomez,DEF,4.9,64,2.8,1.3,1.7,1.6,7.4,0.38,0.0%
Mosquera,DEF,4.3,47,1.1,2.6,1.6,2.0,7.4,0.43,0.0%
Walker-Peters,DEF,4.3,11,0.4,1.5,3.0,2.6,7.4,0.43,0.0%
Scarles,DEF,4.3,6,0.3,1.6,2.7,2.7,7.3,0.43,0.0%
Kroupi.Jr,FWD,4.6,30,1.6,2.2,1.6,1.8,7.3,0.40,6.5%
Bradley,DEF,5.0,0,0.0,2.6,2.4,2.2,7.3,0.36,0.0%
Walker,DEF,4.4,0,0.0,2.2,2.8,2.3,7.2,0.41,0.0%
Savona,DEF,4.5,61,2.3,1.7,1.3,1.9,7.2,0.40,0.0%
Trossard,MID,6.9,31,1.0,1.5,2.4,2.4,7.2,0.26,0.0%
De Ligt,DEF,5.0,40,0.1,0.8,2.4,3.9,7.1,0.35,0.6%
Møller Wolfe,DEF,4.3,72,1.2,2.6,1.5,1.8,7.0,0.41,0.0%
Bijol,DEF,3.9,43,1.6,1.9,2.0,1.5,7.0,0.45,0.2%
Gruda,MID,5.4,26,1.3,2.2,1.6,1.9,7.0,0.32,0.0%
Hutchinson,MID,5.4,29,1.6,1.7,1.7,1.9,6.9,0.32,0.0%
Geertruida,DEF,4.5,36,1.2,1.7,2.5,1.5,6.9,0.38,0.0%
Digne,DEF,4.5,42,2.1,1.9,1.6,1.3,6.8,0.38,0.0%
J.Cuenca,DEF,4.3,35,1.6,2.0,1.9,1.4,6.8,0.40,0.0%
Nmecha,FWD,5.0,75,0.2,1.3,2.8,2.6,6.8,0.34,0.0%
Yoro,DEF,4.3,47,1.9,1.6,1.5,1.8,6.7,0.39,0.0%
Gnonto,MID,5.2,40,2.0,1.8,1.6,1.4,6.7,0.32,0.0%
Füllkrug,FWD,5.6,31,1.6,1.5,1.9,1.7,6.7,0.30,0.0%
Robertson,DEF,5.8,33,1.5,1.7,1.6,1.8,6.6,0.29,0.0%
Lewis-Skelly,DEF,5.1,79,4.7,0.8,0.5,0.7,6.6,0.32,0.0%
Broja,FWD,5.2,24,1.4,1.7,1.8,1.7,6.6,0.32,0.0%
Havertz,FWD,7.3,0,0.0,1.1,2.5,2.9,6.5,0.22,0.0%
Ajer,DEF,4.4,30,1.4,1.7,1.7,1.6,6.5,0.37,0.0%
Mundle,MID,4.9,11,0.6,1.8,2.1,1.9,6.4,0.33,0.0%
Marc Guiu,FWD,4.2,26,1.7,1.5,1.5,1.7,6.4,0.38,50.1%
Kulusevski,MID,6.4,50,0.1,1.3,2.3,2.7,6.4,0.25,0.0%
Bobb,MID,5.2,11,0.6,1.9,1.7,2.1,6.4,0.31,0.0%
Neil,MID,4.8,11,0.4,1.9,2.0,2.1,6.3,0.33,0.0%
Gray,MID,4.8,48,1.7,1.5,1.5,1.7,6.3,0.33,0.0%
Dibling,MID,5.3,10,0.6,1.9,1.9,1.8,6.2,0.29,0.0%
Onana,MID,4.8,31,1.3,1.7,1.6,1.5,6.1,0.32,0.0%
Devenny,MID,4.3,14,0.8,1.6,1.9,1.8,6.1,0.35,0.1%
Lerma,MID,4.9,30,1.2,1.4,1.6,1.8,6.0,0.31,0.0%
Laurent,MID,4.8,34,1.3,1.4,1.6,1.7,6.0,0.31,0.0%
Botman,DEF,4.9,25,0.1,1.0,1.9,3.0,6.0,0.31,0.0%
Ngumoha,MID,4.3,25,1.6,1.5,1.6,1.2,5.9,0.34,0.0%
Souček,MID,5.7,32,1.4,1.3,1.5,1.6,5.9,0.26,0.0%
Martinelli,MID,6.8,22,1.8,1.2,1.4,1.3,5.8,0.21,0.0%
Pope,GK,5.1,0,0.0,1.3,2.0,2.5,5.8,0.28,3.7%
Hudson-Odoi,MID,5.7,29,1.5,1.3,1.4,1.5,5.8,0.25,0.0%
Gruev,MID,4.7,37,1.3,1.7,1.6,1.1,5.7,0.30,0.0%
Dominguez,MID,5.0,24,1.1,1.4,1.5,1.7,5.7,0.29,0.0%
Fer López,MID,5.2,16,0.7,1.7,1.6,1.7,5.7,0.27,0.0%
Röhl,MID,5.0,0,0.0,0.8,2.4,2.4,5.7,0.28,0.0%
A.Jimenez,DEF,4.5,39,1.3,1.8,1.4,1.1,5.6,0.31,0.0%
Mayenda,FWD,5.3,6,0.5,1.7,1.9,1.6,5.6,0.26,0.0%
Doherty,DEF,4.4,19,0.5,2.1,1.4,1.5,5.4,0.31,0.0%
McNeil,MID,5.5,8,0.5,1.6,1.6,1.7,5.4,0.25,0.0%
Gittens,MID,6.1,22,1.4,1.1,1.3,1.6,5.3,0.22,0.0%
Mainoo,MID,4.6,20,1.0,1.3,1.5,1.6,5.3,0.29,0.0%
Odobert,MID,5.3,25,1.4,1.4,1.2,1.3,5.3,0.25,0.0%
Cairney,MID,4.8,17,0.8,1.5,1.5,1.5,5.3,0.28,0.0%
Schär,DEF,5.3,31,1.6,1.4,0.9,1.4,5.3,0.25,0.0%
Andrey Santos,MID,4.5,49,2.3,0.9,1.0,1.0,5.2,0.29,0.1%
Ugarte,MID,4.7,18,0.8,1.4,1.6,1.4,5.2,0.28,0.0%
S.Magassa,MID,5.0,29,1.1,1.2,1.2,1.6,5.2,0.26,0.0%
Mbeumo,MID,8.3,88,5.1,0.0,0.0,0.0,5.1,0.15,13.0%
O.Dango,MID,6.1,86,5.1,0.0,0.0,0.0,5.1,0.21,0.4%
Hoever,DEF,3.8,11,0.3,1.8,1.3,1.6,5.0,0.33,0.0%
Cook,MID,4.9,0,0.0,1.8,1.6,1.6,5.0,0.25,0.0%
Sessegnon,MID,5.4,0,0.0,1.2,1.6,2.1,4.8,0.22,0.0%
Sancho,MID,5.8,25,1.4,0.0,1.7,1.6,4.8,0.21,0.0%
Heaven,DEF,3.8,44,2.0,1.3,0.8,0.7,4.8,0.31,0.2%
Gakpo,MID,7.4,0,0.0,0.0,1.8,3.0,4.7,0.16,0.5%
J.Ramsey,MID,5.3,17,0.9,1.2,1.1,1.5,4.7,0.22,0.0%
Sonne,DEF,3.8,80,3.0,0.5,0.6,0.7,4.7,0.31,0.0%
S.Bueno,DEF,4.4,13,0.3,1.6,1.2,1.6,4.6,0.26,0.0%
Janelt,MID,4.9,18,0.8,1.1,1.3,1.4,4.6,0.24,0.0%
Hughes,MID,4.7,20,0.9,1.1,1.2,1.5,4.6,0.25,0.0%
Piroe,FWD,5.0,26,1.4,1.3,0.9,0.9,4.5,0.22,0.0%
Adama,MID,5.1,11,0.6,1.5,1.4,1.0,4.5,0.22,0.0%
Tel,MID,6.2,17,1.0,1.1,1.0,1.3,4.4,0.18,0.0%
Lewis,DEF,4.7,17,0.7,1.4,1.1,1.2,4.4,0.23,0.0%
Johnson,MID,6.5,18,1.1,1.2,1.0,1.0,4.3,0.16,0.1%
Hill,DEF,3.9,40,1.5,1.0,0.8,0.8,4.1,0.26,0.0%
Edwards,MID,4.7,13,0.7,1.1,1.1,1.1,4.0,0.21,0.0%
