Name,xMins,GW1,GW2,GW3,GW4,GW5,Total,xMins/£M,Elite%
Steele,1,1,1,1,4,4,11,0.5,0.4%
Trafford,0,0,0,3,5,4,12,0.5,3.2%
Armando Broja,1,1,0,0,2,1,4,0.0,0.0%
Johnstone,1,1,2,1,3,4,11,0.5,0.2%
Potts,1,1,2,2,1,3,9,0.4,0.7%
Foderingham,1,1,1,2,2,4,10,0.5,0.9%
Axel Disasi,2,2,2,3,2,3,12,0.0,0.0%
Malacia,0,0,1,2,2,2,7,0.3,0.4%
Ji-soo,0,0,1,2,4,3,10,0.5,0.2%
Redmond,0,0,1,0,1,2,4,0.2,0.9%
Lecomte,0,0,1,1,4,3,9,0.5,1.1%
Maghoma,0,0,2,1,1,1,5,0.2,0.1%
Valdimarsson,1,1,1,2,2,2,8,0.4,1.8%
Travers,0,0,1,2,2,3,8,0.4,0.2%
Delcroix,0,0,2,3,3,3,11,0.6,0.4%
Sambi,0,0,1,0,1,1,3,0.1,0.2%
Nelson,0,0,0,1,0,2,3,0.1,0.2%
Kuol,0,0,0,1,1,1,3,0.1,0.1%
N.Aguerd,0,0,1,4,2,1,8,0.4,0.1%
Amass,1,1,0,1,1,2,5,0.3,0.3%
Armstrong,0,0,1,1,1,2,5,0.2,0.4%
Renato Veiga,1,1,0,2,1,3,7,0.0,0.0%
Boly,0,0,1,3,3,1,8,0.4,0.6%
Winterburn,1,1,1,0,0,0,2,0.1,0.1%
Scarlett,0,0,0,1,1,0,2,0.1,0.9%
Ben Chilwell,0,0,0,1,2,1,4,0.0,0.0%
R.Williams,0,0,1,0,1,2,4,0.2,0.3%
Andrey Santos,0,0,0,1,1,1,3,0.1,0.4%
Pond,0,0,0,0,1,2,3,0.1,2.1%
C.Miguel,1,1,0,0,1,1,3,0.1,0.3%
Targett,0,0,0,1,1,0,2,0.1,0.5%
Sonne,0,0,1,0,0,1,2,0.1,0.2%
Watson,0,0,0,0,1,0,1,0.0,0.1%
J.Rak-Sakyi,0,0,0,1,0,0,1,0.0,0.1%
