Name,Position,Price,xMins,GW1,GW2,GW3,GW4,GW5,Total,/£M,Elite%
Harrison,MID,5.5,22,1.2,1.1,1.0,1.2,1.5,6.0,0.22,0.2%
Esse,MID,5.0,21,1.0,1.2,1.2,1.5,1.1,6.0,0.24,0.2%
Veltman,DEF,4.5,34,1.5,1.2,0.9,1.1,1.2,5.9,0.26,0.3%
Jota,MID,5.5,18,1.1,1.2,1.2,1.0,1.3,5.9,0.21,0.1%
Struijk,DEF,4.5,73,3.0,0.4,0.7,0.7,0.9,5.8,0.26,0.4%
Bradley,DEF,5.0,16,0.6,1.1,1.0,1.4,1.6,5.7,0.23,0.3%
Castagne,DEF,4.5,25,0.9,1.1,1.0,1.5,1.2,5.7,0.25,0.2%
Calafiori,DEF,5.5,14,0.6,1.2,0.9,1.7,1.2,5.7,0.21,0.7%
Laurent,MID,5.0,36,1.3,1.2,1.0,1.0,1.1,5.6,0.23,0.0%
Awoniyi,FWD,5.5,19,1.2,1.1,1.2,0.9,1.3,5.6,0.20,0.8%
J.Araujo,DEF,4.0,26,0.7,1.3,1.1,1.3,1.2,5.6,0.28,1.3%
Merino,MID,6.0,15,0.9,1.2,1.0,1.4,1.2,5.6,0.19,0.7%
Koleosho,MID,5.0,21,1.0,1.3,1.0,1.1,1.2,5.6,0.22,0.1%
Mosquera,DEF,4.5,18,0.5,0.8,1.2,1.2,1.7,5.6,0.25,0.1%
Coppola,DEF,4.5,25,1.1,0.9,0.9,1.2,1.3,5.4,0.24,0.1%
Chiesa,MID,6.5,14,1.0,0.7,1.0,1.3,1.3,5.4,0.17,0.1%
Marc Guiu,FWD,4.5,5,0.3,0.6,1.4,1.4,1.5,5.3,0.23,14.0%
Gomez,DEF,5.0,17,0.6,0.8,1.0,1.3,1.5,5.2,0.21,0.1%
Khusanov,DEF,5.5,25,1.1,1.0,0.9,1.1,1.0,5.2,0.19,0.4%
Nmecha,FWD,5.0,18,1.2,1.0,1.2,0.9,0.9,5.1,0.20,0.5%
Devenny,MID,4.5,22,1.0,1.2,0.9,1.1,0.8,5.0,0.22,1.9%
Boscagli,DEF,4.5,21,0.9,1.0,0.9,1.0,1.1,4.9,0.22,0.1%
Aké,DEF,5.5,21,1.0,1.0,1.0,1.0,0.8,4.9,0.18,0.6%
F.Kadıoğlu,DEF,4.5,21,1.0,1.0,1.0,0.8,1.0,4.9,0.22,0.2%
Højlund,FWD,6.5,18,1.0,1.1,1.1,0.8,0.9,4.9,0.15,0.8%
Mount,MID,6.0,22,1.1,0.9,1.1,0.8,0.8,4.7,0.16,0.2%
Morato,DEF,4.5,14,0.6,0.9,1.1,0.8,1.3,4.7,0.21,0.1%
A.Ramsey,MID,4.5,7,0.4,1.0,0.9,1.0,1.3,4.6,0.21,11.5%
Danso,DEF,4.5,18,0.9,0.6,1.2,1.0,0.9,4.6,0.20,0.1%
Patterson,DEF,4.5,21,0.7,0.7,1.1,1.2,0.9,4.6,0.20,0.1%
L.Miley,MID,4.5,15,0.7,0.9,1.1,1.1,0.7,4.5,0.20,3.0%
