Name,xMins,GW1,GW2,GW3,GW4,GW5,Total,xMins/£M,Elite%
Jota,21,21,24,26,25,25,121,4.4,0.1%
Milambo,16,16,23,27,31,36,133,4.8,0.1%
O'Riley,20,20,23,24,26,23,116,4.2,0.2%
Akanji,33,33,34,28,34,35,164,6.0,0.7%
P.M.Sarr,30,30,29,31,30,29,149,6.0,2.1%
Gruda,20,20,21,21,25,22,109,4.0,0.1%
Mount,24,24,30,26,28,24,132,4.4,0.2%
Elliott,28,28,16,16,23,24,107,3.9,0.2%
Patterson,24,24,34,35,38,36,167,7.4,0.2%
Boscagli,29,29,32,37,37,31,166,7.4,0.2%
Mings,28,28,35,33,33,35,164,7.3,0.5%
Trippier,26,26,30,29,28,34,147,5.9,1.5%
G.Rodriguez,35,35,32,31,29,36,163,6.5,0.1%
N.Gonzalez,46,46,38,29,22,10,145,4.8,0.1%
Delap,31,31,13,18,17,14,93,2.9,4.6%
Harrison,24,24,22,28,24,27,125,4.5,0.2%
R.Gomes,25,25,27,30,27,30,139,6.2,0.1%
Isidor,24,24,29,24,22,27,126,4.6,0.3%
Hato,17,17,26,32,36,39,150,6.0,0.2%
Álvarez,24,24,27,32,32,34,149,6.0,0.2%
Botman,22,22,25,31,33,32,143,5.7,0.5%
Casemiro,28,28,22,27,26,27,130,4.7,0.2%
Christie,0,0,0,19,53,57,129,5.2,0.5%
Castagne,24,24,29,29,35,30,147,6.5,0.2%
Bradley,18,18,20,27,23,27,115,4.6,0.6%
Marc Guiu,11,11,21,23,30,29,114,5.1,9.8%
J.Araujo,30,30,31,31,30,33,155,7.8,1.3%
Esse,15,15,19,20,24,22,100,4.0,0.2%
Shaw,34,34,31,32,26,30,153,6.8,0.2%
Chiesa,16,16,14,14,16,18,78,2.4,0.1%
Robertson,18,18,19,22,25,24,108,3.6,2.0%
Koleosho,20,20,22,21,20,20,103,4.1,0.1%
S.Bueno,21,21,27,33,36,39,156,6.9,0.1%
Madueke,10,10,11,16,18,21,76,2.2,1.6%
Gomez,15,15,18,24,31,30,118,4.7,0.2%
Morato,15,15,25,27,31,35,133,5.9,0.1%
Struijk,64,64,14,15,17,23,133,5.9,0.4%
Wieffer,22,22,23,24,23,21,113,4.5,0.1%
Fer López,16,16,17,16,19,20,88,3.2,0.1%
L.Miley,19,19,25,26,21,17,108,4.8,3.2%
Brooks,16,16,20,15,16,18,85,3.4,0.1%
Aké,21,21,21,20,24,29,115,4.2,0.6%
Danso,18,18,25,26,28,24,121,5.4,0.1%
Igor Jesus,15,15,14,15,16,18,78,2.6,1.2%
H.Traorè,22,22,25,13,11,12,83,3.7,0.3%
Sinisterra,13,13,19,15,17,13,77,3.1,0.2%
Awoniyi,12,12,14,16,16,14,72,2.6,0.8%
Lamptey,15,15,22,21,21,17,96,4.3,0.4%
Bornauw,43,43,14,17,26,22,122,6.1,0.3%
Devenny,11,11,14,18,19,14,76,3.4,1.7%
Zirkzee,10,10,11,17,18,18,74,2.5,1.0%
Rigg,15,15,16,19,19,14,83,3.3,0.1%
Gomez,11,11,14,17,18,19,79,3.2,0.1%
Stones,21,21,19,21,19,21,101,3.7,0.5%
Ekdal,17,17,22,21,25,25,110,5.5,0.3%
Clyne,14,14,16,23,27,23,103,5.2,0.7%
Veltman,23,23,21,21,21,20,106,4.7,0.3%
Calafiori,7,7,15,20,23,18,83,3.0,0.6%
Hee Chan,9,9,9,16,12,16,62,2.1,0.2%
M.Bizot,94,94,1,3,3,2,103,4.6,0.3%
Sosa,17,17,18,17,18,19,89,3.6,0.1%
Khusanov,18,18,18,19,17,23,95,3.5,0.3%
Nwaneri,9,9,11,9,16,14,59,2.1,0.4%
Ekwah,18,18,24,24,19,7,92,4.1,0.1%
Scarles,15,15,16,17,18,18,84,3.7,0.1%
Cairney,10,10,11,15,15,17,68,2.7,0.1%
Aznou,13,13,17,20,20,21,91,4.0,0.1%
A.Ramsey,3,3,9,11,15,25,63,2.8,12.5%
Foster,10,10,12,12,14,13,61,2.4,0.4%
King,6,6,13,14,14,14,61,2.7,0.4%
Summerville,0,0,0,0,23,41,64,2.3,0.0%
Kiwior,20,20,15,14,14,14,77,2.8,0.1%
Philip,17,17,22,7,5,5,56,2.2,0.1%
Bailey,4,4,8,9,9,14,44,1.6,0.5%
Laurent,9,9,13,15,20,18,75,3.0,0.1%
Lavia,15,15,15,14,15,16,75,3.0,0.1%
Kroupi.Jr,10,10,11,8,7,11,47,2.1,1.2%
Igor,14,14,15,16,20,20,85,3.8,0.1%
Humphreys,12,12,18,20,14,18,82,4.1,0.3%
Pinnock,10,10,11,15,18,18,72,3.2,0.3%
Grealish,7,7,8,7,11,10,43,1.3,0.1%
Byram,14,14,17,14,15,20,80,4.0,0.3%
O'Nien,0,0,0,0,31,70,101,5.0,0.0%
Nørgaard,10,10,8,13,14,15,60,2.2,0.8%
Neil,13,13,17,15,16,16,77,3.1,0.1%
Diop,8,8,15,15,19,18,75,3.3,0.1%
Bissouma,10,10,14,13,11,12,60,2.2,0.1%
Endo,19,19,7,9,8,8,51,2.0,0.1%
