Name,Position,Price,xMins,GW16,GW17,GW18,GW19,Total,/£M,Elite%
Strand Larsen,FWD,6.2,83,2.9,4.0,3.2,3.5,13.6,0.55,0.4%
Lammens,GK,5.1,93,3.5,3.1,3.2,3.7,13.6,0.67,0.1%
Rúben,DEF,5.6,83,3.3,3.6,3.1,3.4,13.5,0.60,0.1%
Cucurella,DEF,6.2,83,4.0,2.7,3.2,3.5,13.4,0.54,0.2%
Tonali,MID,5.3,82,3.5,3.3,3.2,3.4,13.4,0.63,0.0%
Keane,DEF,4.6,81,2.9,3.0,3.9,3.6,13.4,0.73,8.2%
Pickford,GK,5.5,95,3.1,3.2,3.7,3.4,13.4,0.61,0.3%
Stach,MID,4.8,83,3.5,3.5,3.5,2.9,13.4,0.70,6.8%
Petrović,GK,4.5,94,3.1,3.9,3.2,2.9,13.2,0.73,7.7%
Verbruggen,GK,4.4,93,2.9,4.0,2.8,3.5,13.2,0.75,11.5%
Vicario,GK,4.9,93,3.4,3.2,3.2,3.3,13.1,0.67,0.1%
Kamada,MID,5.0,77,3.1,3.2,3.3,3.5,13.1,0.65,0.0%
Calvert-Lewin,FWD,5.5,75,3.5,3.5,3.2,2.8,13.0,0.59,5.5%
Estève,DEF,3.9,91,3.5,3.0,3.5,2.9,13.0,0.83,10.2%
Martinez,GK,5.1,93,3.7,3.6,3.0,2.8,13.0,0.64,0.0%
Sels,GK,4.7,93,3.5,3.2,2.9,3.5,13.0,0.69,0.3%
Tete,DEF,4.5,86,3.9,3.4,3.1,2.6,13.0,0.72,0.7%
Roefs,GK,4.7,92,3.3,3.1,3.6,2.9,13.0,0.69,0.2%
James,DEF,5.6,75,4.0,2.5,3.1,3.2,12.8,0.57,0.2%
Gomes,MID,5.3,89,3.0,3.6,3.0,3.1,12.8,0.60,0.0%
Chalobah,DEF,5.2,80,3.7,2.8,3.0,3.3,12.8,0.61,0.4%
Pedro Porro,DEF,5.4,82,3.5,3.2,3.1,3.0,12.8,0.59,0.6%
Kevin,MID,5.8,56,2.8,3.7,3.4,2.9,12.8,0.55,0.0%
Dúbravka,GK,4.0,94,3.4,3.0,3.4,3.0,12.8,0.80,92.6%
Muñoz,DEF,6.1,86,2.4,3.2,3.5,3.7,12.7,0.52,18.2%
Romero,DEF,5.0,91,3.5,3.0,3.1,3.0,12.6,0.63,0.3%
Van Hecke,DEF,4.5,90,2.8,4.3,2.4,3.1,12.5,0.70,11.0%
Dalot,DEF,4.4,66,2.2,2.8,3.3,4.2,12.5,0.71,0.2%
Igor Jesus,FWD,5.8,80,4.3,3.1,2.6,2.6,12.5,0.54,0.0%
Perri,GK,4.5,93,3.1,3.3,3.3,2.8,12.5,0.69,0.0%
Zubimendi,MID,5.3,82,3.6,2.9,3.0,2.9,12.4,0.59,0.0%
Areola,GK,4.3,93,3.2,2.7,3.4,3.2,12.4,0.72,0.1%
Diakité,DEF,4.4,90,2.9,4.1,2.9,2.5,12.4,0.70,0.3%
Mukiele,DEF,4.2,88,3.3,2.8,3.8,2.5,12.4,0.74,10.2%
Rodrigo,MID,6.3,53,1.5,3.8,3.5,3.6,12.3,0.49,0.0%
Murillo,DEF,5.3,85,2.7,3.3,2.7,3.6,12.3,0.58,0.1%
Mac Allister,MID,6.3,61,2.8,2.8,3.4,3.2,12.2,0.49,0.0%
Livramento,DEF,4.9,88,3.6,2.9,2.6,3.2,12.2,0.62,2.4%
McGinn,MID,5.4,70,3.4,3.6,2.8,2.5,12.2,0.57,0.0%
De Ligt,DEF,5.0,84,2.6,2.7,3.1,3.7,12.2,0.61,0.6%
Flemming,FWD,5.3,62,3.2,3.0,3.0,2.9,12.2,0.58,0.0%
Cash,DEF,4.7,83,3.9,3.6,2.6,2.0,12.2,0.65,0.2%
