Name,xMins,GW1,GW2,GW3,GW4,GW5,Total,Points/£M,Elite%
Cairney,9,0.5,0.6,0.6,0.8,1.1,3.5,0.14,0.1%
Kroupi.Jr,11,0.6,1.0,0.5,0.6,0.7,3.4,0.15,1.5%
Sosa,11,0.4,0.6,0.6,0.9,0.9,3.4,0.14,0.1%
Clyne,11,0.4,0.6,0.7,0.9,0.8,3.4,0.17,0.7%
Barkley,8,0.5,0.5,0.8,0.6,1.0,3.3,0.13,0.3%
Nunes,9,0.6,0.6,0.9,0.5,0.7,3.2,0.13,0.1%
King,8,0.5,0.6,0.5,0.6,1.0,3.2,0.14,0.3%
Tchaouna,8,0.5,0.8,0.6,0.6,0.7,3.2,0.13,0.1%
O'Nien,0,0.0,0.0,0.0,1.0,2.2,3.2,0.16,0.0%
Summerville,0,0.0,0.0,0.0,1.0,2.2,3.2,0.12,0.0%
Stones,11,0.5,0.7,0.7,0.6,0.6,3.1,0.11,0.5%
Aznou,10,0.4,0.7,0.7,0.8,0.6,3.1,0.14,0.1%
Chiesa,7,0.6,0.5,0.5,0.7,0.7,3.1,0.10,0.1%
Hato,10,0.4,0.5,0.7,0.7,0.8,3.1,0.12,0.1%
Byram,15,0.6,0.4,0.6,0.6,0.9,3.1,0.15,0.4%
Dewsbury-Hall,7,0.4,0.5,0.9,0.6,0.6,3.1,0.12,0.4%
Hickey,5,0.2,0.4,0.7,0.7,1.1,3.0,0.15,0.8%
Nørgaard,12,0.5,0.6,0.6,0.6,0.6,2.9,0.11,0.7%
Benson,10,0.5,0.6,0.5,0.5,0.7,2.8,0.10,0.0%
Pinnock,6,0.2,0.4,0.9,0.6,0.6,2.8,0.13,0.3%
Neil,10,0.3,0.6,0.7,0.6,0.6,2.8,0.11,0.1%
Humphreys,11,0.3,0.7,0.5,0.4,0.7,2.8,0.14,0.4%
Pedro Lima,11,0.4,0.4,0.7,0.5,0.8,2.7,0.14,1.4%
Kiwior,11,0.4,0.5,0.4,0.7,0.7,2.7,0.10,0.1%
Grealish,6,0.5,0.6,0.5,0.6,0.5,2.7,0.08,0.1%
Nwaneri,6,0.4,0.6,0.6,0.5,0.6,2.6,0.10,0.4%
Lesley Ugochukwu,11,0.5,0.4,0.5,0.7,0.5,2.6,0.01,0.0%
Nkunku,7,0.6,0.4,0.5,0.5,0.5,2.6,0.09,0.3%
Bissouma,10,0.5,0.4,0.6,0.5,0.5,2.6,0.09,0.1%
Mepham,9,0.2,0.6,0.5,0.6,0.7,2.6,0.13,0.3%
Gruev,8,0.3,0.4,0.4,0.6,0.8,2.5,0.10,0.1%
Endo,23,1.1,0.3,0.4,0.4,0.4,2.5,0.10,0.1%
Janelt,0,0.0,0.0,0.5,1.0,0.9,2.5,0.10,0.2%
Devenny,5,0.3,0.5,0.5,0.6,0.6,2.4,0.11,1.7%
March,0,0.0,0.0,0.3,1.0,1.2,2.4,0.08,0.1%
Lucas Pires,9,0.2,0.5,0.5,0.5,0.7,2.4,0.12,0.3%
Tzimas,4,0.4,0.5,0.4,0.4,0.6,2.4,0.09,0.1%
Barnes,6,0.4,0.4,0.5,0.4,0.6,2.4,0.10,5.0%
Gray,8,0.3,0.4,0.5,0.5,0.7,2.4,0.09,0.2%
Igor,9,0.3,0.4,0.4,0.6,0.5,2.3,0.10,0.1%
Mundle,0,0.0,0.0,0.5,0.9,1.0,2.3,0.09,0.1%
Diop,7,0.2,0.5,0.4,0.6,0.6,2.3,0.10,0.1%
A.García,8,0.4,0.4,0.5,0.4,0.6,2.3,0.12,1.0%
Buonanotte,4,0.4,0.5,0.5,0.5,0.4,2.3,0.09,0.3%
Willock,0,0.0,0.0,0.0,0.8,1.4,2.2,0.09,0.2%
H.Bueno,10,0.4,0.4,0.6,0.4,0.4,2.2,0.10,0.1%
Ajer,7,0.3,0.4,0.6,0.4,0.4,2.2,0.10,0.2%
Y.Chermiti,4,0.4,0.4,0.4,0.5,0.4,2.1,0.08,0.2%
Doucouré,4,0.2,0.4,0.6,0.5,0.5,2.1,0.08,0.0%
Bayindir,49,1.6,0.2,0.1,0.1,0.1,2.1,0.08,0.5%
Josh Bowler,4,0.3,0.4,0.5,0.4,0.5,2.1,0.00,0.0%
Da Silva Moreira,3,0.3,0.4,0.5,0.3,0.5,2.1,0.09,0.2%
Bobb,2,0.2,0.4,0.5,0.4,0.5,2.0,0.07,0.1%
Poveda,5,0.4,0.4,0.4,0.3,0.4,1.9,0.08,0.1%
Emerson,5,0.3,0.4,0.4,0.5,0.3,1.9,0.08,0.2%
Huggins,12,0.4,0.6,0.6,0.2,0.1,1.9,0.10,0.3%
Stamenic,4,0.2,0.3,0.4,0.5,0.5,1.9,0.08,0.1%
McAtee,2,0.2,0.2,0.4,0.5,0.5,1.8,0.07,0.1%
Keane,6,0.3,0.2,0.4,0.4,0.4,1.7,0.08,0.3%
Tsimikas,4,0.3,0.2,0.3,0.4,0.5,1.7,0.07,0.1%
Pembele,8,0.3,0.3,0.5,0.3,0.3,1.7,0.08,0.3%
O.Richards,3,0.1,0.3,0.4,0.3,0.5,1.6,0.07,0.1%
Bryan,1,0.2,0.3,0.4,0.4,0.3,1.6,0.07,0.1%
Heaven,5,0.2,0.2,0.5,0.3,0.4,1.6,0.08,2.1%
Roberts,8,0.2,0.5,0.3,0.2,0.4,1.6,0.07,0.1%
Sima,2,0.2,0.3,0.3,0.3,0.5,1.6,0.06,0.0%
Coleman,3,0.2,0.3,0.3,0.4,0.3,1.6,0.07,0.1%
Tosin,5,0.2,0.1,0.4,0.4,0.5,1.6,0.07,0.3%
Patterson,4,0.1,0.3,0.3,0.4,0.4,1.6,0.07,0.5%
David Møller Wolfe,9,0.3,0.3,0.4,0.2,0.4,1.5,0.00,0.0%
Obi,2,0.2,0.3,0.4,0.3,0.2,1.5,0.07,4.9%
Cornet,2,0.2,0.3,0.4,0.3,0.4,1.5,0.06,0.1%
Hill,3,0.1,0.3,0.3,0.4,0.4,1.5,0.07,0.7%
Mamardashvili,1,0.1,0.2,0.3,0.4,0.4,1.4,0.06,0.7%
Roerslev,7,0.3,0.3,0.4,0.2,0.2,1.4,0.06,0.1%
Obafemi,3,0.3,0.3,0.3,0.2,0.3,1.4,0.06,0.8%
Benitez,4,0.1,0.2,0.2,0.4,0.4,1.4,0.07,0.5%
Solomon,1,0.1,0.1,0.2,0.4,0.5,1.4,0.05,0.1%
Armstrong,3,0.1,0.2,0.3,0.4,0.4,1.3,0.06,0.4%
Bamford,2,0.2,0.3,0.3,0.3,0.2,1.3,0.05,3.1%
Alex Moreno,3,0.1,0.2,0.3,0.3,0.4,1.3,0.06,11.6%
Hayden,1,0.1,0.2,0.4,0.3,0.2,1.3,0.06,0.1%
Soler,3,0.1,0.3,0.2,0.3,0.3,1.2,0.06,0.4%
George,3,0.3,0.3,0.3,0.2,0.2,1.2,0.05,0.1%
Raheem Sterling,3,0.3,0.2,0.3,0.2,0.3,1.2,0.00,0.0%
Krafth,2,0.1,0.1,0.4,0.3,0.4,1.2,0.05,0.1%
Carney Chukwuemeka,2,0.2,0.2,0.2,0.2,0.3,1.1,0.00,0.0%
Kalajdžić,1,0.2,0.2,0.3,0.2,0.3,1.1,0.04,0.2%
Malacia,3,0.2,0.2,0.3,0.2,0.2,1.1,0.06,0.4%
Kovačić,0,0.0,0.0,0.0,0.4,0.7,1.1,0.04,0.0%
Davies,2,0.1,0.1,0.3,0.3,0.2,1.1,0.05,0.1%
Irving,1,0.1,0.2,0.3,0.3,0.2,1.0,0.05,0.3%
Martinez,0,0.0,0.0,0.0,0.1,0.9,1.0,0.04,0.6%
Zinchenko,1,0.1,0.1,0.2,0.3,0.2,1.0,0.04,0.3%
Fer López,0,0.0,0.2,0.2,0.3,0.3,1.0,0.04,0.1%
Faivre,1,0.1,0.2,0.1,0.2,0.2,0.9,0.04,0.3%
Amass,3,0.1,0.2,0.2,0.2,0.2,0.9,0.05,0.3%
Greenwood,0,0.0,0.2,0.2,0.2,0.3,0.9,0.04,0.1%
Neto,2,0.1,0.2,0.2,0.2,0.3,0.9,0.04,1.2%
Bogarde,1,0.0,0.1,0.2,0.3,0.3,0.9,0.04,0.3%
Browne,1,0.1,0.2,0.2,0.2,0.3,0.9,0.04,0.1%
Fábio Silva,0,0.0,0.1,0.2,0.2,0.3,0.9,0.03,0.7%
Marshall,1,0.2,0.0,0.2,0.2,0.3,0.9,0.04,0.9%
Triantis,4,0.2,0.2,0.2,0.2,0.1,0.9,0.04,0.1%
Hjelde,0,0.0,0.0,0.0,0.3,0.5,0.9,0.04,0.0%
Jordan,1,0.0,0.1,0.2,0.2,0.4,0.9,0.04,0.2%
Reed,0,0.0,0.2,0.2,0.3,0.2,0.9,0.04,0.3%
Collyer,1,0.1,0.1,0.2,0.2,0.2,0.8,0.04,0.2%
Sarmiento,0,0.0,0.1,0.2,0.2,0.3,0.8,0.03,0.1%
Alese,0,0.0,0.0,0.0,0.5,0.3,0.8,0.04,0.0%
Schmidt,3,0.1,0.0,0.2,0.2,0.2,0.8,0.04,0.3%
O’Reilly,1,0.1,0.1,0.2,0.2,0.2,0.7,0.03,0.2%
Arrizabalaga,1,0.1,0.1,0.2,0.2,0.2,0.7,0.03,1.0%
M.Sarr,3,0.1,0.1,0.2,0.1,0.1,0.7,0.03,0.1%
Holding,1,0.0,0.1,0.2,0.2,0.2,0.7,0.04,0.3%
Gelhardt,0,0.0,0.2,0.2,0.2,0.2,0.7,0.03,0.3%
Jörgensen,2,0.1,0.0,0.2,0.1,0.3,0.7,0.03,0.2%
Buendía,0,0.0,0.1,0.2,0.2,0.2,0.7,0.02,0.1%
Rusyn,0,0.0,0.1,0.1,0.2,0.2,0.7,0.03,0.3%
J.Cuenca,0,0.0,0.1,0.1,0.2,0.3,0.7,0.03,0.1%
Jair Cunha,1,0.0,0.1,0.1,0.2,0.2,0.6,0.03,0.1%
Travers,0,0.0,0.1,0.1,0.2,0.2,0.6,0.03,0.2%
Ortega Moreno,0,0.0,0.2,0.1,0.2,0.1,0.6,0.02,0.5%
Maghoma,1,0.1,0.1,0.1,0.1,0.1,0.6,0.02,0.1%
Steele,1,0.0,0.1,0.1,0.2,0.1,0.5,0.02,0.4%
Trafford,0,0.0,0.1,0.2,0.1,0.1,0.5,0.02,3.4%
B.Badiashile,1,0.1,0.1,0.1,0.2,0.1,0.5,0.02,0.1%
D.Essugo,0,0.0,0.1,0.1,0.1,0.1,0.5,0.02,0.1%
Valdimarsson,1,0.0,0.0,0.2,0.1,0.1,0.5,0.02,2.1%
Darlow,1,0.0,0.0,0.1,0.2,0.1,0.5,0.02,7.5%
Mosquera,1,0.0,0.1,0.1,0.1,0.2,0.5,0.02,0.1%
Axel Disasi,0,0.0,0.1,0.1,0.1,0.2,0.5,0.00,0.0%
H.Traorè,0,0.0,0.2,0.1,0.1,0.1,0.5,0.02,0.3%
Bajcetic,0,0.0,0.0,0.0,0.2,0.2,0.5,0.02,0.1%
Lecomte,1,0.1,0.1,0.0,0.1,0.2,0.4,0.02,1.0%
Armando Broja,2,0.2,0.1,0.0,0.0,0.1,0.4,0.00,0.0%
Winterburn,2,0.2,0.3,0.0,0.0,0.0,0.4,0.02,0.1%
David Datro Fofana,1,0.1,0.0,0.0,0.2,0.1,0.4,0.00,0.0%
Kinsky,1,0.1,0.0,0.1,0.1,0.2,0.4,0.02,5.4%
Fábio Vieira,0,0.0,0.1,0.0,0.1,0.1,0.4,0.01,0.1%
Foderingham,0,0.0,0.1,0.1,0.1,0.1,0.4,0.02,1.0%
Nelson,0,0.0,0.0,0.0,0.2,0.1,0.4,0.01,0.2%
C.Miguel,0,0.0,0.1,0.1,0.1,0.1,0.4,0.02,0.3%
N.Aguerd,0,0.0,0.0,0.1,0.1,0.1,0.3,0.01,0.1%
Godo,0,0.0,0.0,0.0,0.1,0.2,0.3,0.01,0.1%
Johnstone,0,0.0,0.0,0.1,0.1,0.1,0.3,0.01,0.2%
Ji-soo,0,0.0,0.0,0.1,0.1,0.1,0.3,0.01,0.2%
Delcroix,0,0.0,0.1,0.0,0.1,0.1,0.3,0.01,0.5%
Édouard,0,0.0,0.0,0.0,0.1,0.1,0.2,0.01,1.1%
Sambi,0,0.0,0.0,0.1,0.0,0.1,0.2,0.01,0.2%
Kuol,0,0.0,0.0,0.1,0.1,0.0,0.2,0.01,0.1%
Redmond,0,0.0,0.0,0.0,0.1,0.1,0.2,0.01,0.9%
R.Williams,0,0.0,0.0,0.1,0.1,0.0,0.2,0.01,0.3%
Abbott,1,0.0,0.0,0.1,0.0,0.0,0.2,0.01,0.3%
Renato Veiga,0,0.0,0.0,0.0,0.0,0.1,0.2,0.00,0.0%
Konak,0,0.0,0.1,0.1,0.0,0.0,0.1,0.01,0.2%
Sonne,0,0.0,0.1,0.0,0.0,0.1,0.1,0.01,0.2%
Anderson,0,0.0,0.0,0.1,0.0,0.0,0.1,0.01,0.6%
Edozie,0,0.0,0.0,0.0,0.0,0.1,0.1,0.01,0.4%
Pond,0,0.0,0.0,0.0,0.0,0.1,0.1,0.01,2.2%
Targett,0,0.0,0.0,0.0,0.1,0.0,0.1,0.01,0.5%
Boly,0,0.0,0.0,0.1,0.0,0.1,0.1,0.01,0.6%
Scarlett,0,0.0,0.0,0.0,0.1,0.0,0.1,0.00,0.9%
Potts,0,0.0,0.0,0.0,0.1,0.0,0.1,0.00,0.7%
Casey,0,0.0,0.0,0.0,0.0,0.0,0.1,0.01,0.8%
Watson,0,0.0,0.0,0.1,0.0,0.0,0.1,0.00,0.1%
Ben Chilwell,0,0.0,0.0,0.0,0.1,0.0,0.1,0.00,0.0%
Aleksić,0,0.0,0.1,0.0,0.0,0.0,0.1,0.00,0.1%
Kone,0,0.0,0.0,0.0,0.1,0.0,0.1,0.00,0.1%
Gauci,1,0.1,0.0,0.0,0.0,0.0,0.1,0.00,1.1%
Akinmboni,0,0.0,0.0,0.0,0.0,0.0,0.1,0.00,0.4%
Cox,0,0.0,0.0,0.0,0.0,0.1,0.1,0.00,0.2%
Iling Jr,0,0.0,0.0,0.0,0.0,0.1,0.1,0.00,0.0%
Bentley,0,0.0,0.0,0.0,0.0,0.1,0.1,0.00,1.3%
Andrey Santos,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.4%
A.Murphy,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.8%
Welch,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.2%
Meslier,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,1.1%
Lascelles,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.1%
Hein,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.6%
Setford,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.2%
Clarke,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.6%
Kacurri,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.3%
Nichols,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.2%
Kabia,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.3%
G.Jesus,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Marschall,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.1%
Sousa,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.3%
Yasin,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.3%
Barrenechea,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Dobbin,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.1%
Broggio,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.3%
Dendoncker,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.4%
Jimoh-Aloba,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.1%
Young,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.6%
Dennis,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.7%
McKenna,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.2%
Paulsen,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.2%
Bevan,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.3%
Sadi,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.1%
Silcott-Duberry,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.3%
Enes Ünal,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Adu-Adjei,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.4%
Balcombe,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.3%
Eyestone,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.1%
Arthur,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.4%
Fredrick,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.2%
Meghoma,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.2%
Onyeka,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.1%
Donovan,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.1%
Peart-Harris,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.1%
Trevitt,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.1%
Morgan,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.6%
McGill,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.3%
Rushworth,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Scherpen,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Estupiñan,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.3%
Webster,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.1%
Cashin,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.1%
Slater,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.2%
Tasker,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.2%
Enciso,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.2%
Milner,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.1%
Yalcouye,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.1%
Knight,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.1%
Mazilu,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.1%
Moran,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.1%
Ferguson,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.1%
Kostoulas,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.7%
Green,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.5%
Dodgson,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.3%
Sambo,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.2%
Worrall,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.2%
Boateng,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.1%
Churlinov,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.1%
Adewumi,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.1%
Banel,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Trésor,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.1%
Penders,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.1%
Slonina,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.1%
Acheampong,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.3%
Anselmino,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.2%
Mudryk,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Paez,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.1%
Marc Guiu,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,5.2%
Matthews,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.1%
Chadi Riad,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Kporha,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.2%
Agbinone,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.1%
Ahamada,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.1%
Ebiowei,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.1%
J.Rak-Sakyi,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.1%
Ozoh,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Rodney,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Umeh,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Marsh,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.3%
Tyrer,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.2%
Dixon,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.3%
Bates,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.1%
Ebere,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Heath,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Metcalfe,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Sherif,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.3%
Benda,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.1%
Amissah,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.2%
Harris,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Cairns,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.3%
Crew,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.1%
Gyabi,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.1%
Mateo Joseph,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.2%
Pécsi,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.1%
Woodman,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.1%
Nallo,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.2%
Ramsay,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.2%
Luis Díaz,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,1.0%
Doak,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.1%
McConnell,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Morton,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Nyoni,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.1%
Danns,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.2%
Bettinelli,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.2%
Vitor Reis,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.1%
Echeverri,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.1%
Nypan,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.1%
Phillips,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.1%
Harrison,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Heaton,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.4%
Mee,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.2%
D.Leon,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.1%
Fredricson,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.2%
Rashford,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.4%
Garnacho,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.2%
Antony,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.1%
Sancho,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.1%
Fitzgerald,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
J.Fletcher,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Moorhouse,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Wheatley,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.2%
Dúbravka,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,13.3%
Gillespie,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.1%
Odysseas,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.1%
Ashby,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.2%
Pivas,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.2%
Antoñito C.,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.1%
White,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.1%
Neave,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.3%
Turner,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,1.4%
David Carmo,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.1%
Dominguez,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
O'Brien,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Moore,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.6%
Nna Noukeu,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.3%
Cirkin,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.2%
Johnson,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.3%
Ba,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.4%
H.Jones,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.1%
Matete,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.3%
Abdullahi,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,1.1%
Luís Hemir,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.3%
Austin,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.3%
Dragusin,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Phillips,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.2%
Takai,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.4%
Vuskovic,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,2.3%
Son,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,2.2%
Maddison,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,2.8%
Kulusevski,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Moore,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.1%
Min-hyeok,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.2%
Olusesi,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.2%
Lankshear,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.4%
Hegyi,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.4%
Earthy,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.2%
Orford,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.2%
King,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,2.9%
Meupiyou,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.1%
B.Traore,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0%
Chirewa,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.3%
Gonzalez,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,1.3%
Hodge,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.4%
Chiwome,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.1%
Fraser,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,2.7%
J.Palhinha,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.1%
