Name,xMins,GW1,GW2,GW3,GW4,GW5,Total,xMins/£M,Elite%
Cherki,22,22,24,26,28,25,125,3.8,9.2%
Akanji,39,39,34,43,38,38,192,7.0,0.6%
Isidor,31,31,36,29,28,36,160,5.8,0.4%
Lewis,33,33,38,36,40,40,187,7.5,0.6%
Laurent,39,39,41,39,44,43,206,8.2,0.1%
Sessegnon,22,22,33,32,30,33,150,5.5,0.2%
L.Guilherme,27,27,30,36,26,26,145,5.8,0.1%
Henry,38,38,40,42,42,44,206,9.2,0.2%
Onana,30,30,32,35,36,38,171,6.8,1.7%
Seelt,62,62,58,53,27,10,210,10.5,0.4%
Jota,22,22,22,28,27,29,128,4.7,0.1%
Kamada,29,29,29,29,30,30,147,5.9,0.1%
Foster,27,27,31,26,32,26,142,5.7,0.4%
G.Rodriguez,36,36,34,35,35,35,175,7.0,0.1%
Ramazani,21,21,23,25,28,24,121,4.8,0.1%
Milambo,16,16,24,26,31,36,133,4.8,0.1%
Mount,24,24,26,28,23,24,125,4.2,0.2%
Casemiro,29,29,24,30,32,30,145,5.3,0.2%
Savinho,18,18,17,22,20,23,100,2.9,1.9%
Gruda,18,18,27,25,21,23,114,4.1,0.1%
Mings,27,27,30,33,29,37,156,6.9,0.5%
O'Riley,21,21,23,22,22,24,112,4.1,0.2%
Harrison,22,22,23,25,29,23,122,4.4,0.2%
Trippier,28,28,23,30,32,28,141,5.6,1.5%
Gusto,25,25,29,27,27,32,140,5.6,2.2%
Robertson,22,22,25,23,23,25,118,3.9,2.1%
P.M.Sarr,22,22,25,29,27,30,133,5.3,1.8%
Christie,0,0,0,22,57,56,135,5.4,0.5%
Lavia,32,32,30,27,33,30,152,6.1,0.1%
Bradley,19,19,18,25,24,25,111,4.4,0.7%
Bailey,15,15,18,19,19,18,89,3.2,0.5%
Morato,22,22,27,30,32,35,146,6.5,0.1%
Álvarez,21,21,26,32,29,31,139,5.6,0.2%
Botman,23,23,26,27,27,34,137,5.5,0.5%
J.Araujo,31,31,30,31,28,34,154,7.7,1.3%
Struijk,63,63,17,21,23,20,144,6.4,0.4%
Delap,26,26,13,11,13,15,78,2.4,4.6%
Castagne,24,24,29,30,31,28,142,6.3,0.2%
Coppola,22,22,28,28,29,28,135,6.0,0.1%
Wieffer,21,21,25,24,25,27,122,4.9,0.1%
Brooks,20,20,24,19,16,18,97,3.9,0.2%
Aké,22,22,23,25,26,31,127,4.6,0.5%
Shaw,26,26,25,30,33,26,140,6.2,0.2%
Zirkzee,11,11,14,18,17,24,84,2.8,1.1%
Iroegbunam,19,19,25,25,25,25,119,4.8,0.1%
Calafiori,23,23,20,21,20,19,103,3.7,0.6%
Elliott,20,20,11,14,16,15,76,2.8,0.2%
Madueke,7,7,10,14,18,20,69,2.0,1.7%
Gomez,13,13,18,20,27,29,107,4.3,0.2%
A.Ramsey,10,10,11,18,23,34,96,4.3,12.8%
Igor Jesus,12,12,16,17,15,18,78,2.6,1.3%
Sinisterra,14,14,16,18,14,18,80,3.2,0.2%
Hladký,25,25,29,25,28,28,135,6.8,0.5%
Rigg,14,14,18,20,19,20,91,3.6,0.1%
L.Miley,17,17,22,25,20,16,100,4.4,3.3%
Danso,15,15,24,21,24,30,114,5.1,0.1%
M.França,9,9,11,18,18,17,73,3.2,0.1%
Bornauw,42,42,17,20,23,23,125,6.3,0.3%
Awoniyi,13,13,13,14,16,18,74,2.7,0.8%
Gomez,13,13,13,17,20,21,84,3.4,0.1%
Ekdal,20,20,22,22,24,24,112,5.6,0.3%
